doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
647,3767,0,5,-1.0726047202680995,43
648,3769,0,4,-2.1840351578537778,35
649,3774,0,4,-2.2731421768412954,28
650,3775,0,5,-1.3682318510098623,33
651,3777,0,5,-0.8896089106780103,62
652,3778,0,4,-1.671512708551016,47
653,3789,0,4,-1.802670467374715,59
654,3796,0,5,-0.8562590458678594,59
655,3797,0,5,-0.9666699823199796,24
656,3799,0,5,-1.4020688517641755,21
657,3803,0,5,-0.9867433648956982,37
658,3808,0,5,-1.0914515215919485,49
659,3809,0,5,-1.1769910513633821,37
660,3810,0,3,-2.4877055506458756,59
661,3816,0,5,-1.180004739200628,40
662,3821,0,4,-1.2788780428779685,38
663,3823,0,4,-2.025884477452217,12
664,3829,0,4,-2.021771047955726,8
665,3834,0,5,-1.1069688882879003,43
666,3837,0,5,-1.5712278560551578,40
