doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
407,5065,0,6,-0.9856249928290097,21
408,5082,0,6,-1.9255515539524044,16
409,5217,0,6,-1.5789756896486633,26
410,5229,0,6,-1.472181646275697,28
411,5233,0,6,-2.1170368451588537,21
412,5250,0,7,-1.178542634045769,17
413,5270,0,7,-1.5074508314442703,18
414,5280,0,7,-1.0812166914828225,11
415,5282,0,6,-1.392870793990685,37
416,5289,0,6,-0.9155972647717823,30
417,5295,0,6,-1.7484925753153409,22
418,5306,0,6,-1.12964592626349,23
419,5308,0,7,-1.0386241139386776,21
420,5318,0,7,-0.9660966199727081,19
421,5439,0,7,-0.8648511805548011,27
422,5440,0,7,-1.1985342174150198,30
423,5445,0,6,-1.722103970133758,22
424,5461,0,7,-1.156901938225392,40
425,5462,0,6,-1.7167995287899496,21
426,5468,0,4,-3.199700211696591,34
427,5476,0,6,-1.2824999677430737,24
428,5479,0,6,-1.1845900398028517,29
429,5486,0,6,-1.4231823112241733,16
430,5488,0,7,-1.0731795945790594,30
431,5507,0,6,-2.0735585857872127,23
432,5530,0,4,-3.455818231401124,23
433,5533,0,7,-1.0153814838029582,24
434,5542,0,6,-2.0407959624261824,25
435,5543,0,6,-1.2049049507425487,24
436,5558,0,7,-0.8673967835313015,28
437,5559,0,7,-0.9786815472254382,22
438,5682,0,6,-1.5433970339733358,14
439,5683,0,6,-1.1681093694524929,20
440,5715,0,7,-0.984722850488879,26
441,5722,0,6,-1.5202472162955463,21
442,5724,0,6,-1.0623901074981523,33
443,5729,0,4,-3.3221383371673383,24
444,5730,0,6,-0.954840447376375,18
445,5757,0,6,-1.5150969416802926,9
446,5763,0,6,-1.539973635321231,36
447,5766,0,6,-1.481767669409348,16
448,5778,0,6,-1.1937576235000185,32
449,5783,0,6,-1.1778518649940661,23
450,5785,0,5,-2.2694664277686716,17
451,5794,0,5,-1.8348357263019457,34
452,5797,0,6,-0.9163590023033379,26
453,5812,0,6,-1.1881549584036586,42
454,5820,0,6,-2.0867476706709915,18
455,5821,0,7,-1.0113504536378333,28
456,5943,0,7,-1.0670167767820082,35
457,5952,0,7,-1.469160015651541,18
458,5961,0,7,-1.1505968277860923,24
459,5962,0,7,-1.0349565441667412,25
460,5964,0,6,-1.199587039917823,13
461,5983,0,6,-1.3710998206975518,38
462,5991,0,6,-1.616616157453584,28
463,6010,0,6,-1.5696821186358525,23
464,6017,0,7,-0.8905616251004966,21
465,6022,0,6,-1.5904352215483692,24
466,6024,0,6,-1.1067724529373333,33
467,6025,0,4,-3.1760904313892677,46
468,6036,0,6,-1.5514151206922966,23
469,6063,0,6,-1.5391635038006442,23
470,6068,0,6,-1.338641835518814,18
471,6071,0,6,-0.8852384028586755,26
472,6078,0,6,-1.0706192347014394,33
473,6089,0,5,-2.2778476453255196,26
474,6095,0,4,-2.656325152835845,23
475,6096,0,5,-1.7962821258930601,35
476,6100,0,5,-2.39890714289064,22
477,6107,0,6,-1.5218638005903111,37
478,6108,0,4,-3.239728918503853,41
479,6121,0,7,-0.8946699625765078,19
480,6124,0,6,-1.205429335366607,31
481,6125,0,7,-0.8614369918811793,32
482,6141,0,6,-1.542709383351812,13
483,6155,0,6,-1.1937596840459017,22
484,6159,0,6,-1.6100050343593102,40
485,6174,0,6,-1.5140385138351027,37
486,6175,0,6,-0.866998741208878,39
487,6189,0,6,-1.5844347487436519,45
488,6198,0,7,-0.8381268429409348,29
489,6202,0,6,-1.2708463961908416,39
490,6222,0,7,-0.9913946357718855,18
491,6239,0,6,-1.4687042337142726,32
492,6243,0,6,-1.266334227623907,24
493,6247,0,6,-1.512641761080637,21
494,6265,0,6,-1.2513363390838457,27
495,6267,0,6,-1.1653789182438343,25
496,6268,0,6,-1.2902333312741785,24
497,6281,0,5,-3.0211731781637106,20
498,6295,0,6,-1.8481860355038942,26
499,6297,0,6,-1.2692775217940424,22
500,6299,0,7,-1.0692654382878324,29
501,6304,0,6,-1.6259308934461867,29
502,6313,0,5,-2.911451533069159,22
503,6315,0,6,-1.6977434521592203,27
504,6327,0,5,-2.591352847879329,46
505,6349,0,4,-3.38854842060897,18
506,6358,0,7,-1.103452645147902,19
507,6367,0,6,-1.3085776000445621,31
508,6368,0,7,-0.8536797466026167,25
509,6375,0,6,-1.126149034405687,16
510,6377,0,6,-1.7746769630550592,29
511,6385,0,6,-1.1314058201288013,32
512,6386,0,6,-1.6067906231624285,21
513,6396,0,6,-1.1212545882416851,21
514,6397,0,6,-1.454255905199477,16
515,6403,0,5,-2.510846639132244,31
516,6408,0,6,-2.0367288953591753,33
517,6410,0,7,-0.9133208219835698,21
518,6427,0,6,-1.0492419469355303,31
519,9240,0,5,-2.8837800799463684,28
520,9241,0,7,-0.9366273568858183,15
521,9424,0,5,-2.7475671126132157,23
522,9429,0,7,-1.361526701839967,25
523,9479,0,6,-1.49150522490425,26
524,9491,0,7,-1.4153491987139954,20
525,9494,0,6,-1.1875783931676276,25
526,9497,0,7,-1.1363165654189515,34
527,9501,0,6,-1.2455634104085975,32
528,9503,0,7,-0.9192191727560717,42
529,9507,0,7,-1.0016310976335028,24
530,9508,0,6,-1.8322008382152628,24
531,9519,0,7,-0.9489006130021771,25
532,9545,0,6,-1.3213662679098617,28
533,9546,0,4,-3.1086724821113503,27
534,9547,0,6,-1.4410451348730247,29
535,9552,0,7,-0.9333074607262848,19
536,9557,0,6,-1.2741903380064086,29
537,9559,0,6,-0.8910966226001698,23
538,9562,0,7,-1.1425156261243128,24
539,9564,0,6,-1.612324401967295,25
540,9567,0,6,-1.2461024539723935,18
541,9569,0,6,-1.008016002496202,18
542,9575,0,6,-1.1774270258165123,28
543,9582,0,6,-0.9903857030570258,52
544,9587,0,6,-1.0954534626813697,20
545,9589,0,6,-1.1959218720564326,48
546,9590,0,6,-1.4241075208168779,16
547,9599,0,6,-1.2969090622674422,19
548,9601,0,6,-0.8526177628558465,24
549,3,0,4,-1.3488528904272998,24
550,6,0,5,-0.8363596040310641,37
551,10,0,4,-1.3494649780772887,51
552,12,0,3,-3.12825120975668,37
553,16,0,4,-1.9273374965805212,22
554,25,0,4,-1.8539915585058555,13
555,27,0,5,-0.9431401372083759,44
556,28,0,4,-1.4778092672954442,56
557,31,0,4,-1.8043154316865975,40
558,41,0,3,-2.6672508115121616,70
559,46,0,4,-2.08002935480077,34
560,48,0,5,-0.8376557931480937,61
561,49,0,4,-1.3834427190465135,39
562,50,0,5,-0.899543023874334,38
563,51,0,5,-0.9262157967854572,22
564,53,0,6,-0.8897905466445941,29
565,55,0,4,-1.880587087073863,23
566,63,0,4,-1.5102168169438377,51
567,64,0,4,-1.529214059429914,31
568,66,0,4,-1.9612905535220806,35
569,80,0,4,-1.542890847152048,37
570,81,0,4,-1.8836269971790047,53
571,82,0,4,-1.2626993977171441,54
572,83,0,5,-1.0583177688666678,39
573,90,0,5,-1.0338809981946886,37
574,91,0,3,-3.0848061799411575,9
575,93,0,4,-1.271038109285076,52
576,111,0,5,-1.3685704399750378,28
577,115,0,4,-2.453858694887926,126
578,116,0,6,-0.8979737195467195,26
579,122,0,5,-1.5073256625527636,57
580,124,0,4,-1.7788980313571976,18
581,130,0,4,-1.6503837840418996,111
582,143,0,3,-2.8976892980559743,21
583,150,0,4,-1.4260344439274792,25
584,152,0,4,-1.73108323127365,40
585,154,0,4,-2.2946217620148746,48
586,157,0,4,-1.9063048655440493,44
587,161,0,5,-1.2495872200223346,29
588,162,0,5,-0.9547046784243909,35
589,168,0,4,-1.7366814303132143,64
590,175,0,5,-1.0019579466798252,58
591,177,0,4,-1.2919396249265533,75
592,180,0,4,-1.8724317371225316,32
593,184,0,4,-1.9954968075084274,112
594,187,0,5,-0.9108803534484933,37
595,192,0,5,-1.5754716801789082,37
596,194,0,5,-1.2741367451785877,43
597,200,0,4,-1.3321961762724222,51
598,207,0,4,-1.6573434535038416,34
599,208,0,4,-1.8880223978656225,32
600,211,0,4,-1.698454470138163,20
601,212,0,3,-2.965910128526386,37
602,216,0,3,-2.517476689041728,31
603,223,0,4,-1.7885957907696932,36
604,242,0,4,-1.9140464687186194,53
605,246,0,4,-1.4947961249233597,76
606,250,0,5,-0.8858584972022223,27
607,252,0,5,-1.0467440904918268,43
608,253,0,5,-0.9222578572749152,28
609,255,0,4,-1.941526936032898,44
610,257,0,4,-1.2561831425000358,12
611,260,0,5,-1.275507200498458,61
612,262,0,4,-1.5510657523180171,67
613,265,0,5,-0.9261047105327638,21
614,266,0,4,-1.876347304215785,45
615,277,0,4,-1.617824969430699,41
616,280,0,5,-1.0478080904757476,42
617,287,0,5,-1.317958647736333,110
618,298,0,5,-1.0490265752937038,51
619,299,0,5,-0.8643067631151871,97
620,311,0,4,-1.7242299876169511,69
621,314,0,4,-1.9897613357526813,60
622,315,0,3,-2.7982384330572874,51
623,322,0,4,-2.2500519648439496,67
624,328,0,5,-0.9085521380464554,42
625,336,0,4,-1.623149119236146,48
626,337,0,4,-1.8137319131281808,81
627,339,0,5,-0.9124992461309072,150
628,346,0,5,-1.4376776569456906,44
629,353,0,5,-0.973401755873069,16
630,3673,0,5,-1.3346399978949481,38
631,3675,0,4,-1.597190398139916,31
632,3676,0,5,-1.2242326473149534,61
633,3682,0,4,-1.44122284114437,33
634,3686,0,4,-1.882438324049164,57
635,3689,0,4,-2.0513736605459725,33
636,3692,0,4,-2.2759449055949323,44
637,3696,0,4,-1.6737147546362268,52
638,3701,0,4,-2.265073598513876,38
639,3713,0,5,-1.815201713707724,58
640,3716,0,5,-1.7222017551245106,12
641,3719,0,5,-1.255310779238913,83
642,3722,0,5,-1.1102927211458669,34
643,3727,0,3,-2.7674793108500158,51
644,3735,0,4,-1.2814594398122026,99
645,3746,0,4,-1.6930934277895844,43
646,3764,0,5,-1.4958741917736562,63
