phrase_idx,phrase,n_docs,total_count,zeta,direction
6239,of_estimates,13,14,-4.95167592457041,low_read
7275,defined_to,12,12,-4.9516759245704,low_read
7615,quasi_maximum,12,12,-4.9516759245704,low_read
8629,true_parameter,11,11,-4.95167592457027,low_read
7898,and_identically,11,11,-4.95167592457025,low_read
6800,nuisance_parameter,10,13,-4.95080509802642,low_read
6649,equilibria_that,13,13,-4.95080509802614,low_read
8183,independent_and,11,11,-4.95080509802576,low_read
7387,ignore_the,12,12,-4.95080509802574,low_read
8000,consistent_estimation,10,11,-4.9508050980257,low_read
8875,constant_and,10,10,-4.95080509802552,low_read
5406,spectral_density,11,16,-4.95080509802552,low_read
5712,morgenstern_utility,13,15,-4.95080509802538,low_read
5061,theorem_for,17,17,-4.95080509802522,low_read
7572,parameter_vector,9,12,-4.95080509559694,low_read
3992,extensive_form,14,20,-4.95080508824777,low_read
7949,be_written,11,11,-4.95080508824757,low_read
6196,marginal_rate,12,14,-4.95080508824755,low_read
8203,is_identified,11,11,-4.95080508824751,low_read
8781,asymptotically_equivalent,10,10,-4.95080508824749,low_read
8116,formulated_as,11,11,-4.95080508824749,low_read
7937,attention_has,11,11,-4.95080508824748,low_read
9009,form_for,10,10,-4.95080508824747,low_read
8715,alternative_hypothesis,10,10,-4.95080508824744,low_read
9505,the_dimension,10,10,-4.95080508824739,low_read
4283,normality_of,16,19,-4.95080508824739,low_read
8689,zero_the,11,11,-4.95080508824738,low_read
8966,estimators_based,10,10,-4.95080508824736,low_read
7326,estimation_in,11,12,-4.95080508824735,low_read
6119,generalizes_the,14,14,-4.950800218045,low_read
6304,regression_function,11,14,-4.95080021804495,low_read
7352,for_model,11,12,-4.95080021804495,low_read
9668,worked_out,10,10,-4.95080021804487,low_read
6203,mean_squared,11,14,-4.95079718827747,low_read
5978,and_inference,11,14,-4.95079718827746,low_read
9547,these_difficulties,10,10,-4.95079718827746,low_read
9024,function_or,10,10,-4.95079718827744,low_read
6168,is_bounded,12,14,-4.95079718827739,low_read
9084,in_fixed,10,10,-4.95079718827738,low_read
7260,considered_and,12,12,-4.95079718827737,low_read
9576,to_equal,9,10,-4.95079718827736,low_read
8769,are_interpreted,10,10,-4.95079718827736,low_read
5138,and_quantity,14,16,-4.95079718827734,low_read
7790,to_investment,9,12,-4.95079718827734,low_read
7499,multivariate_normal,10,12,-4.95079718827734,low_read
8578,the_von,11,11,-4.95079718827733,low_read
9423,series_in,7,10,-4.95079718827733,low_read
7355,frequency_domain,10,12,-4.95079718827732,low_read
3851,pareto_optimality,18,21,-4.95079718827731,low_read
8214,its_asymptotic,11,11,-4.95079718827731,low_read
8462,solution_and,10,11,-4.95079718827731,low_read
5704,minimum_distance,11,15,-4.9507971882773,low_read
8543,the_independent,11,11,-4.9507971882773,low_read
5869,the_identified,9,15,-4.95079718827728,low_read
5819,stage_game,13,15,-4.95079718827728,low_read
5370,price_equalization,12,16,-4.95079718827727,low_read
8485,such_way,11,11,-4.95079718827726,low_read
8232,local_alternatives,10,11,-4.95079718827721,low_read
6758,lagged_dependent,11,13,-4.95079718827644,low_read
7293,distributions_and,12,12,-4.95079718825625,low_read
9441,solving_the,10,10,-4.95079718825618,low_read
5327,of_feasible,12,16,-4.95079718825614,low_read
8968,estimators_have,10,10,-4.95079718825614,low_read
7385,if_in,12,12,-4.95079718825612,low_read
8969,estimators_the,10,10,-4.95079718825609,low_read
5512,and_confidence,10,15,-4.95079718825607,low_read
8426,regression_of,11,11,-4.95079718825607,low_read
8861,complete_characterization,10,10,-4.95079718825606,low_read
6405,the_spot,11,14,-4.95079718825605,low_read
7315,equations_is,12,12,-4.95079718825604,low_read
9493,the_absolute,10,10,-4.95079718825601,low_read
6065,derives_the,14,14,-4.95079718825595,low_read
6209,mixed_strategy,11,14,-4.95079718825594,low_read
8066,estimator_the,10,11,-4.95079718825591,low_read
6862,overidentifying_restrictions,11,13,-4.95079718825587,low_read
7321,error_terms,11,12,-4.9507892334208,low_read
7597,processes_and,11,12,-4.95078923342079,low_read
8874,consistent_estimators,10,10,-4.95078923342079,low_read
7885,and_certain,11,11,-4.95078923342078,low_read
7302,either_of,11,12,-4.95078923342076,low_read
7362,general_linear,12,12,-4.95078923342069,low_read
8303,of_parametric,11,11,-4.95078923342057,low_read
8425,regression_coefficient,8,11,-4.9507838821321,low_read
5006,stochastic_dominance,13,17,-4.95078388213202,low_read
7979,case_with,10,11,-4.95078388213202,low_read
7935,asymptotic_expansions,10,11,-4.950783882132,low_read
5875,the_maximal,11,15,-4.95078388213196,low_read
7970,calculation_of,11,11,-4.95078388213195,low_read
6365,the_boundary,10,14,-4.95078388213195,low_read
8036,distribution_functions,11,11,-4.95078388213194,low_read
9066,illustrates_the,10,10,-4.95078388213194,low_read
8967,estimators_can,10,10,-4.95078388213194,low_read
9359,procedures_we,10,10,-4.95078388213191,low_read
5821,state_variables,9,15,-4.95078388213188,low_read
9300,order_asymptotic,9,10,-4.95078388213184,low_read
9115,inference_procedures,9,10,-4.95078388213184,low_read
